age,gender,region_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_session_duration,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn,plan_tier,logins_90d,active_days_90d,api_calls_90d,session_minutes_90d,days_since_active,days_since_joined
18,F,Village,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,17.0,300.63,53005.25,17.0,781.75,Yes,Yes,No,Not Applicable,Products always in Stock,0,Enterprise,46,33,8793,1027.11,2,137
32,F,City,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,16.0,306.34,12838.38,10.0,698.25,Yes,No,Yes,Solved,Quality Customer Care,0,Enterprise,37,30,8605,862.65,1,126
44,F,Town,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,14.0,516.16,21027.0,22.0,500.69,No,Yes,Yes,Solved in Follow-up,Poor Website,1,Basic,17,17,267,411.37,16,416
37,M,City,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,11.0,53.27,25239.56,6.0,567.66,No,Yes,Yes,Unsolved,Poor Website,1,Basic,8,8,227,215.77,20,429
31,F,City,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,20.0,113.13,24483.66,16.0,663.06,No,Yes,Yes,Solved,Poor Website,1,Basic,13,11,294,231.94,2,111
13,M,City,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,23.0,433.62,13884.77,24.0,722.27,Yes,No,Yes,Unsolved,No reason specified,0,Pro,29,25,1318,584.06,0,724
21,M,Town,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,10.0,55.38,8982.5,28.0,756.21,Yes,No,Yes,Solved in Follow-up,No reason specified,0,Pro,23,21,2300,377.52,0,1019
42,M,Town,No,Credit/Debit Card Offers,Both,Fiber_Optic,19.0,429.11,44554.82,24.0,568.08,No,Yes,Yes,Unsolved,Poor Product Quality,1,Basic,8,8,330,103.81,0,538
44,M,Village,No,Without Offers,Smartphone,Fiber_Optic,15.0,191.07,18362.31,20.0,698.25,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,0,Pro,32,30,1833,673.6,3,383
45,F,Town,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,10.0,97.31,19244.16,28.0,706.23,No,Yes,Yes,No Information Available,Poor Customer Service,1,Basic,19,18,292,520.97,0,397
25,F,Village,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,14.0,570.23,35119.93,8.0,699.7,Yes,Yes,No,Not Applicable,Poor Product Quality,1,Basic,9,8,374,114.15,16,589
60,M,City,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,14.0,55.53,41672.02,33.02434314,798.12,Yes,No,No,Not Applicable,Too many ads,0,Pro,24,20,1409,417.58,0,719
11,M,Town,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13.0,41.09,44007.18,18.0,608.26,Yes,No,Yes,Unsolved,Poor Customer Service,1,Basic,9,8,286,100.51,7,1066
34,M,City,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,10.0,89.76,21318.19,6.0,698.25,No,Yes,No,Not Applicable,Poor Product Quality,1,Basic,15,14,231,443.17,8,390
40,M,City,No,Without Offers,Desktop,Fiber_Optic,20.0,100.59,14842.62,26.0,698.25,No,Yes,No,Not Applicable,Poor Website,0,Enterprise,27,25,11631,443.98,9,408
16,F,Town,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13.0,30.14,18792.31,7.0,141.5132013,Yes,No,Yes,Unsolved,Too many ads,1,Basic,12,12,381,197.14,8,176
57,F,City,No,Without Offers,Desktop,Wi-Fi,5.0,333.34,47241.32,8.0,698.25,Yes,Yes,Yes,Solved in Follow-up,Too many ads,1,Basic,8,8,275,161.20000000000002,0,705
11,M,Town,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,12.0,275.13,29072.86,26.0,733.97,Yes,No,No,Not Applicable,Poor Customer Service,0,Pro,37,30,1487,961.23,0,364
39,M,Town,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,9.0,241.74,33170.16,6.0,551.11,Yes,No,Yes,No Information Available,No reason specified,1,Basic,11,11,252,276.53000000000003,5,61
45,M,City,No,Without Offers,Desktop,Mobile_Data,14.0,31.15,66982.61,8.0,164.800769,Yes,No,Yes,Unsolved,Products always in Stock,0,Enterprise,29,24,8818,392.61,5,698
33,M,Village,No,Without Offers,Desktop,Wi-Fi,15.0,49.86,44289.97,25.0,703.96,Yes,No,No,Not Applicable,Poor Customer Service,1,Basic,17,14,480,417.89,0,760
30,M,Village,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,21.0,30.37,49404.86,23.0,630.61,Yes,No,Yes,No Information Available,Poor Website,1,Basic,12,12,218,264.36,2,521
19,F,Town,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,15.0,483.03,52702.67,3.0,389.3564432,No,Yes,Yes,No Information Available,User Friendly Website,0,Enterprise,36,28,7751,685.22,0,344
48,M,Town,Yes,Without Offers,Smartphone,Fiber_Optic,12.0,72.52,15860.41,3.207385793,529.03,No,Yes,No,Not Applicable,No reason specified,0,Basic,23,19,295,450.13,0,52
43,M,City,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,17.0,108.3,21725.57,21.0,225.0044276,No,Yes,No,Not Applicable,Poor Website,1,Basic,14,14,355,291.72,1,871
29,F,Town,No,Without Offers,Desktop,Fiber_Optic,18.0,300.38,12069.06,7.0,777.31,No,Yes,No,Not Applicable,Too many ads,0,Pro,28,21,1497,608.84,0,632
10,M,City,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,1.0,100.65,8515.5,6.0,757.7,Yes,No,No,Not Applicable,No reason specified,0,Pro,41,33,1973,1071.38,10,783
20,F,Village,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,22.0,272.31,42743.44,12.0,687.26,Yes,No,No,Not Applicable,Poor Product Quality,1,Basic,12,12,415,265.08,8,389
61,F,Village,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,17.0,174.18,29156.1,10.0,710.38,Yes,No,Yes,No Information Available,No reason specified,1,Pro,32,26,2347,649.49,0,232
10,M,Town,No,Credit/Debit Card Offers,Desktop,Wi-Fi,4.0,127.37,15719.24,10.0,634.88,Yes,No,Yes,Unsolved,Poor Website,1,Pro,30,24,1919,587.49,2,720
17,F,City,No,Without Offers,Desktop,Fiber_Optic,20.0,162.93,31100.95,11.0,633.05,No,Yes,Yes,Solved,Too many ads,1,Basic,9,8,369,174.66,28,768
60,M,Town,Yes,Without Offers,Desktop,Fiber_Optic,18.0,498.09,48125.94,27.0,698.25,No,Yes,No,Not Applicable,Poor Product Quality,1,Basic,11,10,377,296.03,15,425
11,F,Town,Yes,Without Offers,Desktop,Wi-Fi,10.0,185.53,60143.68,4.0,836.08,Yes,No,Yes,Solved in Follow-up,User Friendly Website,0,Pro,21,17,2706,390.91,0,522
